epoch,train_bce,val_bce
1,325.4544745897015,317.7244840232891
2,298.2022797544404,315.5221200136266
3,289.10953175744163,302.12880126332914
4,282.18570466358426,302.957281697988
5,277.1315953070443,302.245297757149
6,273.1288764167091,302.81277342644785
7,271.00146888093366,306.11085866163717
8,267.5806588868623,300.56924583873945
9,265.7999130963799,303.25975058188936
10,263.3830112687641,303.36209201534876
11,262.1701344850389,299.98599400054496
12,260.27800485637454,298.5080181456642
13,259.45670566953606,300.0197602605081
14,258.16868763786033,294.6420710337992
15,257.7386964434211,301.7502469653877
16,257.6957393775796,298.16185131661337
17,256.3377995336309,294.2380043903338
18,254.9232635044284,305.5803297756432
19,255.01159871188034,306.7052995985945
20,253.63827184644774,297.972477368595
21,254.49887983926328,301.82321975209413
22,253.9966132341052,303.34123519768497
23,253.03747387474434,300.34444889699745
24,252.5503249065745,306.66804833129595
25,251.84510543148377,296.678029374287
