epoch,train_bce,val_bce
1,309.6704567028659,329.67897197041174
2,288.6609333739802,322.43698086255307
3,285.2737949886711,320.3813691348814
4,283.3729213106731,318.2406711670868
5,281.72444323408894,317.31633767161037
6,280.5919085326801,320.2067798524391
7,279.80235120853257,320.0936202828403
8,279.1764226494414,319.26643774448746
9,279.1282827838566,315.64852038459287
10,278.35452177815046,319.7367295681651
11,277.8031571031827,318.99168792366737
12,278.46850629413217,323.6525067790778
13,277.557600073153,319.0916488489101
14,277.1160159512817,318.23490801067663
15,276.92081361257357,323.1577962996479
16,276.54129775607714,320.4745279680431
17,276.2747115152833,320.5863042082839
